path,filename,categories,subtype,tags,pages,size_bytes,sha256,duplicate_group,duplicate_of,explicit_version,source_document_id,pdf_created,modified_at,metadata_title,metadata_author,text_status,text_chars_first_3_pages,parse_error,sample
(CODBOT-SG02)简易二自由度云台/0-酷点机器人技术支持及售后(1).pdf,0-酷点机器人技术支持及售后(1).pdf,模块,支持信息,CODBOT-SG02,2,861573,A0CBBE0BC6AC04F2CFABB88C8526D2A02065645F1D2487BAB80DEC5AE607FE31,DUP-PDF-001,(CODBOT-SG02)简易二自由度云台/0-酷点机器人技术支持及售后.pdf,未标注,,2023-08-15,2026-07-09T22:56:22+08:00,路演标准化产品汇报,大熊,可检索,162,,武汉酷点机器人科技有限公司 技术支持及售后请添加微信： （微信号CODBOT-M） 酷点公众号请关注： 获取更多产品资料及动态 购买 淘宝店铺网址：https://codbot.taobao.com/ 淘宝店铺名称：酷点机器人 武汉酷点机器人科技有限公司 公司网址：http://ai-codbot.com/ 编码器电机应用
(CODBOT-SG02)简易二自由度云台/0-酷点机器人技术支持及售后.pdf,0-酷点机器人技术支持及售后.pdf,模块,支持信息,CODBOT-SG02,2,861573,A0CBBE0BC6AC04F2CFABB88C8526D2A02065645F1D2487BAB80DEC5AE607FE31,DUP-PDF-001,,未标注,,2023-08-15,2026-07-09T22:53:09+08:00,路演标准化产品汇报,大熊,可检索,162,,武汉酷点机器人科技有限公司 技术支持及售后请添加微信： （微信号CODBOT-M） 酷点公众号请关注： 获取更多产品资料及动态 购买 淘宝店铺网址：https://codbot.taobao.com/ 淘宝店铺名称：酷点机器人 武汉酷点机器人科技有限公司 公司网址：http://ai-codbot.com/ 编码器电机应用
(CODBOT-SG02)简易二自由度云台/3-舵机资料/1-舵机简易3D模型/舵机996(1).PDF,舵机996(1).PDF,模块,机械图,CODBOT-SG02;MG996,1,57862,A3E3A8D1A4127CC853E1294D465AED7D0CB7405ACE7C6AFC6D53BD36F7B476CA,DUP-PDF-002,(CODBOT-SG02)简易二自由度云台/3-舵机资料/1-舵机简易3D模型/舵机996.PDF,未标注,,2022-05-06,2026-07-09T22:56:22+08:00,舵机996,DESKTOP-2EALP15\86159 (DESKTOP-2EALP15),可检索,270,,40 29 40 45 3 54.40 48.50 10 20 10 M3 R3 20 尺寸单位：mm 审核 设计 标记 处数 分区 更改文件号 签名 年月日 工艺 标准化 批准 阶 段 标 记 共 张 第 张 重量 比例 日期 签字 底图总号 旧底图总号 描校 描图 借(通)用件登记 零 件 代 号 校核 版本 替代 2:1 材质 <未指定> “图样代号” “图样名称” 0.032 11 主管设计 1 2 B C D E F A H G F E D C B A 11109876543 12 112 7 93 5 1061 124 8
(CODBOT-SG02)简易二自由度云台/3-舵机资料/1-舵机简易3D模型/舵机996.PDF,舵机996.PDF,模块,机械图,CODBOT-SG02;MG996,1,57862,A3E3A8D1A4127CC853E1294D465AED7D0CB7405ACE7C6AFC6D53BD36F7B476CA,DUP-PDF-002,,未标注,,2022-05-06,2026-07-09T22:53:11+08:00,舵机996,DESKTOP-2EALP15\86159 (DESKTOP-2EALP15),可检索,270,,40 29 40 45 3 54.40 48.50 10 20 10 M3 R3 20 尺寸单位：mm 审核 设计 标记 处数 分区 更改文件号 签名 年月日 工艺 标准化 批准 阶 段 标 记 共 张 第 张 重量 比例 日期 签字 底图总号 旧底图总号 描校 描图 借(通)用件登记 零 件 代 号 校核 版本 替代 2:1 材质 <未指定> “图样代号” “图样名称” 0.032 11 主管设计 1 2 B C D E F A H G F E D C B A 11109876543 12 112 7 93 5 1061 124 8
(CODBOT-SG02)简易二自由度云台/3-舵机资料/2-舵机接线及供电说明/各类型舵机接线供电与使用说明(1).pdf,各类型舵机接线供电与使用说明(1).pdf,模块,接线与原理,CODBOT-SG02;MG996;MG995;SG90/MG90S,4,646647,3CCBF9AFC26230E4FBC07D84C774B8B8DDBAAAE9F4056BD0D736D9DA514D40AF,DUP-PDF-003,(CODBOT-SG02)简易二自由度云台/3-舵机资料/2-舵机接线及供电说明/各类型舵机接线供电与使用说明.pdf,未标注,,2026-05-09,2026-07-09T22:56:22+08:00,,8615927301195,可检索,340,,"各类型舵机接线说明 一、 sg90/mg90s 舵机（工作电压 4.2-6V，额定电压 5V） 该系列舵机由于功率比较小，可以用 stm32、51、uno 等主板直接供电，其 接线情况如下图： 其中，棕色线接 GND,红色线接正极（5V） ，橙色线接PWM 线。 二、 mg995/mg996、20kg 等舵机(额定电压 5V) 该系列舵机属于大扭矩舵机，直接用开发板的普通 5V IO 引脚是带不 动的，会出现给 PWM 波后不转的情况。建议使用电源单独转出 5V 供电，同 时舵机电源需要与控制板共地。下图以酷点机器人自主研发的 CODBOT- SPM05 5V 电源模块为例介绍舵机接线参考情况。(该电源模块提供专用 5V 专用舵机接口，大大简化了接线) 三、 PWM 控制"
(CODBOT-SG02)简易二自由度云台/3-舵机资料/2-舵机接线及供电说明/各类型舵机接线供电与使用说明.pdf,各类型舵机接线供电与使用说明.pdf,模块,接线与原理,CODBOT-SG02;MG996;MG995;SG90/MG90S,4,646647,3CCBF9AFC26230E4FBC07D84C774B8B8DDBAAAE9F4056BD0D736D9DA514D40AF,DUP-PDF-003,,未标注,,2026-05-09,2026-07-09T22:53:23+08:00,,8615927301195,可检索,340,,"各类型舵机接线说明 一、 sg90/mg90s 舵机（工作电压 4.2-6V，额定电压 5V） 该系列舵机由于功率比较小，可以用 stm32、51、uno 等主板直接供电，其 接线情况如下图： 其中，棕色线接 GND,红色线接正极（5V） ，橙色线接PWM 线。 二、 mg995/mg996、20kg 等舵机(额定电压 5V) 该系列舵机属于大扭矩舵机，直接用开发板的普通 5V IO 引脚是带不 动的，会出现给 PWM 波后不转的情况。建议使用电源单独转出 5V 供电，同 时舵机电源需要与控制板共地。下图以酷点机器人自主研发的 CODBOT- SPM05 5V 电源模块为例介绍舵机接线参考情况。(该电源模块提供专用 5V 专用舵机接口，大大简化了接线) 三、 PWM 控制"
(CODBOT-SG02)简易二自由度云台/3-舵机资料/4-舵机控制原理/利用单片机PWM信号进行舵机控制.pdf,利用单片机PWM信号进行舵机控制.pdf,模块,接线与原理,CODBOT-SG02,5,277708,B437F8D7F9B86AFC6778947101558DC3CA5F26BBEA3B8673D25E36C36D114ABE,,,未标注,,2020-07-09,2026-07-09T22:56:50+08:00,,Administrator,可检索,2096,,在机器人机电控制系统中， 舵机控制效果是性能的重要影响因素。 舵机可以在微机电系 统和航模中作为基本的输出执行机构， 其简单的控制和输出使得单片机系统非常容易与之接 口。 舵机是一种位置伺服的驱动器，适用于那些需要角度不断变化并可以保持的控制系统。 其工作原理是： 控制信号由接收机的通道进入信号调制芯片， 获得直流偏置电压。 它内部有 一个基准电路， 产生周期为20ms， 宽度为1.5ms 的基准信号， 将获得的直流偏置电压与电 位器的电压比较， 获得电压差输出。 最后， 电压差的正负输出到电机驱动芯片决定电机的正 反转。当电机转速一定时，通过级联减速齿轮带动电位器旋转，使得电压差为0，电机停止 转动。 图1 舵机的控制要求 舵机的控制信号是 PWM 信号， 利用占空比的变化改变舵机的位置。 一般舵机的控制要 求如图 1 所示。 单片机实现舵机转角控制 可以使用 FPGA、模拟电路、单片机来产生舵机的控制信号，但 FPGA 成本高且电路复 杂。 对于脉宽调制信号的脉宽变换， 常用的一种方法是采用调制信号获取有源滤波后的直流 电压， 但是需要50Hz(周期是 20ms)的信号， 这对运放器件的选择有较高要求， 从电路体积 和功耗考虑也不易采用。5mV 以上的控制电压的变化就会引起舵机的抖动，对于机载的测 控系统而言，电源和其他器件的信号噪声都远大于5mV，所以滤波电路的精度难以达到舵
(CODBOT-SG02)简易二自由度云台/3-舵机资料/4-舵机控制原理/舵机的相关原理与控制原理.pdf,舵机的相关原理与控制原理.pdf,模块,接线与原理,CODBOT-SG02,2,141126,E3E169092CB296DAF62A8352F70EEEF15562026A8E63C4C3F4815DBF49ADA3D6,,,未标注,,2020-07-09,2026-07-09T22:56:23+08:00,,Administrator,可检索,1303,,"1、基本概念 模拟舵机： 需要不断的发送目的地PWM 信号， 才能旋转到指定位置。 例如： 我现在让它旋转 90 度，我就需要不断的发送90 度的PWM 信号直到到达指定位置才能停止。我们使用的SG9 0 就是一个模拟舵机 数字舵机：只需给一个目的地PWM 信号，即可旋转到指定位置。例如：我现在让它旋转90 度，我只需要发送一次90 度的PWM 信号，它就可以旋转到90 度。 PWM 信号：PWM，英文名Pulse Width Modulation，是脉冲宽度调制缩写，它是通过对一系 列脉冲的宽度进行调制， 等效出所需要的波形 （包含形状以及幅值） ， 对模拟信号电平进行 数字编码，也就是说通过调节占空比的变化来调节信号、能量等的变化。 占空比： 在一串理想的脉冲序列中(如方波) ,正脉冲的持续时间与脉冲总周期的比值. 例如: 脉冲宽度 1s,信号周期 4s 的脉冲序列占空比为 0.25。 1.舵机简介 在机器人机电控制系统中， 舵机控制效果是性能的重要影响因素。 舵机可以在微机电系 统和航模中作为基本的输出执行机构， 其简单的控制和输出使得单片机系统非常容易与之接 口。 舵机是一种位置 （角度） 伺服的驱动器， 适用于那些需要角度不断变化并可以保持的控 制系统。目前在高档遥控玩具， 如航模， 包括飞机模型， 潜艇模型；遥控机器人中已经使用 得比较普遍。舵机是一种俗称，其实是一种伺"
(CODBOT-SG02)简易二自由度云台/简易贰自由度云台(1).PDF,简易贰自由度云台(1).PDF,模块,机械图,CODBOT-SG02,1,66532,A39774903C2D2DBDB5536330088F109CDF9DD31C603006D5E37A05490649EE6E,DUP-PDF-004,(CODBOT-SG02)简易二自由度云台/简易贰自由度云台.PDF,未标注,,2026-03-17,2026-07-09T22:56:22+08:00,简易贰自由度云台,DESKTOP-2EALP15\86159 (DESKTOP-2EALP15),可检索,283,,62 114.08 32.20 56 48.20 61.58 25 56 8 14 37.20 62 25 14 14 20 3.10 M3 M3 审核 设计 标记 处数 分区 更改文件号 签名 年月日 工艺 标准化 批准 阶 段 标 记 共 张 第 张 重量 比例 日期 签字 底图总号 旧底图总号 描校 描图 借(通)用件登记 零 件 代 号 校核 版本 替代 1:1 “图样代号” “图样名称” 0.092 11 主管设计 1 2 B C D E F A H G F E D C B A 11109876543 12 112 7 93 5 1061 124 8
(CODBOT-SG02)简易二自由度云台/简易贰自由度云台.PDF,简易贰自由度云台.PDF,模块,机械图,CODBOT-SG02,1,66532,A39774903C2D2DBDB5536330088F109CDF9DD31C603006D5E37A05490649EE6E,DUP-PDF-004,,未标注,,2026-03-17,2026-07-09T22:53:09+08:00,简易贰自由度云台,DESKTOP-2EALP15\86159 (DESKTOP-2EALP15),可检索,283,,62 114.08 32.20 56 48.20 61.58 25 56 8 14 37.20 62 25 14 14 20 3.10 M3 M3 审核 设计 标记 处数 分区 更改文件号 签名 年月日 工艺 标准化 批准 阶 段 标 记 共 张 第 张 重量 比例 日期 签字 底图总号 旧底图总号 描校 描图 借(通)用件登记 零 件 代 号 校核 版本 替代 1:1 “图样代号” “图样名称” 0.092 11 主管设计 1 2 B C D E F A H G F E D C B A 11109876543 12 112 7 93 5 1061 124 8
